                   # Time              Temperature                       h1                      he4                      c12                      n13                      n14                      o16                      f18                     ne20                     ne21                     na22                     na23                     mg24                     al27                     si28                      p31                      s32                     ar36                     ca40                     ti44                     cr48                     fe52                     ni56
     4.32876128108306e-10               2000000000     4.95022268926295e-08         0.98999400647241     5.22787983466993e-09     7.45963864490649e-17      0.00997973401108332      1.1030235372342e-15     2.51651942363575e-05     2.18078858865062e-20     1.03954676486572e-06      4.5397945379341e-11     3.03498095113283e-25     1.46689756610682e-24     1.10334644637769e-28      3.4382765835296e-29     1.00045673727601e-30     1.00011774502574e-30     1.00000124725522e-30     1.00000149912622e-30     1.00000000613284e-30     1.00000001165339e-30     1.00000000172397e-30      1.0000000002483e-30
     5.09413801481639e-10               2000000000     6.82201782907216e-08        0.989992908105429     6.15222149959017e-09     1.36217636701202e-16      0.00997615502411692     1.54270522091227e-15     2.94298117052842e-05      3.5652624925709e-20      1.4326237443252e-06     6.26030478033125e-11      5.6185886690816e-25     2.80490615061337e-24     2.45136503838904e-28     7.57116447875932e-29     1.00115450368036e-30     1.00029209041663e-30     1.00000153413623e-30     1.00000184381724e-30     1.00000000754296e-30     1.00000001433282e-30     1.00000000212036e-30     1.00000000030539e-30
     5.99484250318942e-10               2000000000     9.39678140630576e-08        0.989991601124701     7.23999383273717e-09     2.47298904210241e-16      0.00997194488076771     2.17007287745457e-15     3.43793763070816e-05     5.85108877090069e-20     1.97332409572369e-06      8.6317991174921e-11     1.04764578854367e-24     5.38330770822489e-24       5.485541957648e-28     1.68899105431747e-28     1.00298372652702e-30     1.00074825357483e-30     1.00000187195424e-30     1.00000224945343e-30      1.0000000092024e-30     1.00000001748601e-30     1.00000000258683e-30     1.00000000037257e-30
     7.05480231071863e-10               2000000000     1.29330336898129e-07         0.98999004345532     8.52009171673495e-09     4.45888372488886e-16      0.00996699261439429     3.07739837514605e-15     4.01100237816431e-05     9.65015543767081e-20       2.715937075581e-06     1.18996676814441e-10      1.9675360443624e-24     1.03734868475147e-23      1.2344733702299e-27     3.79883155966996e-28      1.0078184248154e-30     1.00195358849904e-30     1.00000227016487e-30     1.00000272681049e-30     1.00000001115525e-30     1.00000002119672e-30     1.00000000313579e-30     1.00000000045164e-30
     8.30217568131974e-10               2000000000     1.77834630746321e-07        0.989988183715319     1.00265182998422e-08      7.9773897190331e-16      0.00996116788568221     4.41408702809055e-15     4.67258465383209e-05     1.60250972983096e-19     3.73452724696139e-06     1.64058898599221e-10      3.7230632981542e-24     2.00822254627607e-23     2.78966964115853e-27     8.58878540322025e-28     1.02062765362704e-30      1.0051483657444e-30     1.00000274083751e-30     1.00000328856934e-30     1.00000001345339e-30     1.00000002556352e-30      1.0000000037818e-30     1.00000000054468e-30
     9.77009957299225e-10               2000000000     2.44259198878613e-07        0.989985959021739     1.17992878994963e-08     1.41574224751249e-15       0.0099543176464177     6.43113489432199e-15     5.43376038681238e-05     2.68738549600271e-19     5.12944317873785e-06     2.26301651434041e-10     7.11149100743064e-24     3.91466012168154e-23     6.34187941387359e-27     1.95420162815172e-27     1.05482015190367e-30     1.01368198408187e-30      1.0000033011835e-30     1.00000394965295e-30     1.00000001615787e-30     1.00000003070241e-30     1.00000000454203e-30     1.00000000065418e-30
     1.14975699539774e-09               2000000000     3.35053821065853e-07        0.989983292200466     1.38854883940555e-08     2.49128206166096e-15      0.00994626225328361     9.56475757982096e-15     6.30601641200458e-05     4.56889496133208e-19      7.0361302464073e-06     3.12562147948953e-10     1.37488800664956e-23      7.7069948022237e-23     1.45387035413954e-26     4.48423538047298e-27     1.14696434562792e-30     1.03669526695394e-30     1.00000398110742e-30     1.00000472762276e-30     1.00000001934054e-30      1.0000000367499e-30     1.00000000543668e-30     1.00000000078303e-30
     1.35304777457981e-09               2000000000     4.58890143484239e-07        0.989980088289792       1.634053124132e-08     4.34383576723647e-15      0.00993679094363557     1.45908611285279e-14     7.30084100453166e-05     7.90705869732229e-19     9.63669302018599e-06     4.32813589452534e-10     2.69683633891505e-23     1.53640220158763e-22      3.3632457222614e-26     1.03828926331967e-26     1.39661036730763e-30         1.0990871855e-30     1.00000484619617e-30     1.00000564314513e-30     1.00000002308594e-30     1.00000004386664e-30     1.00000000648951e-30     1.00000000093466e-30
     1.59228279334109e-09               2000000000     6.27363074407733e-07        0.989976230231305     1.92296221585551e-08     7.50270037651025e-15       0.0099256565795577     2.29216875754598e-14     8.42913697294209e-05     1.39925836734756e-18     1.31746245746821e-05     6.02106226007026e-10     5.38574540709629e-23     3.11281495295533e-22     7.87057212685182e-26     2.43181305896536e-26     2.07869229033009e-30     1.26965905075452e-30     1.00000607114903e-30     1.00000672054038e-30     1.00000002749357e-30     1.00000005224168e-30      1.0000000077285e-30     1.00000000111311e-30
     1.87381742286039e-09               2000000000      8.5588101927686e-07        0.989971573566098     2.26294912979165e-08     1.28359377767541e-14      0.00991256955621923     3.71667182560073e-14     9.70040215226348e-05     2.54267487643772e-18      1.7973501425549e-05     8.44174068725534e-10     1.09960624186723e-22     6.43681825658648e-22     1.86991277163042e-25     5.78191026737374e-26     3.96483075104258e-30     1.74159544924519e-30     1.00000817776634e-30       1.000007988429e-30     1.00000003268053e-30     1.00000006209749e-30     1.00000000918654e-30     1.00000000132311e-30
     2.20513073990304e-09               2000000000     1.16475412706636e-06        0.989965940067279     2.66304284397129e-08     2.17549321120774e-14      0.00989719076279146     6.22216292364843e-14     0.000111216750018188     4.76369096972399e-18     2.44598367035361e-05     1.19856841857775e-09     2.30862920101532e-22     1.36653571606888e-21     4.54228291619252e-25     1.40544611022641e-25     9.30482580212816e-30     3.07839427163544e-30     1.00001285894742e-30     1.00000948049317e-30     1.00000003878461e-30     1.00000007369586e-30     1.00000001090238e-30     1.00000000157023e-30
     2.59502421139973e-09               2000000000     1.58055807263495e-06        0.989959109963798     3.13386767443315e-08     3.65209606875717e-14      0.00987912347603851     1.07257003902511e-13     0.000126961209100538      9.2116025048314e-18     3.31917195843294e-05     1.73458538645823e-09     5.00090445914945e-22     2.98833335539124e-21     1.13258828760691e-24     3.50642739760109e-25     2.47930034662331e-29      6.9573540750306e-30     1.00002580291623e-30     1.00001123637638e-30     1.00000004596796e-30     1.00000008734489e-30     1.00000001292158e-30     1.00000000186105e-30
     3.05385550883341e-09               2000000000      2.1377010708588e-06        0.989950813008853     3.68792474503168e-08      6.0729635911279e-14      0.00985790406596924     1.89503067259436e-13     0.000144214042206642     1.83646367955238e-17     4.48917225861365e-05     2.57981662280734e-09     1.11995594571518e-21     6.74474231335179e-21     2.91040927122779e-24     9.01492723578759e-25     7.10738522769505e-29     1.85526369699266e-29     1.00006691338126e-30     1.00001330275788e-30     1.00000005442142e-30     1.00000010340712e-30     1.00000001529779e-30     1.00000000220329e-30
     3.59381366380463e-09               2000000000     2.88023603627406e-06        0.989940718188453     4.33992287374149e-08     1.00031129445709e-13      0.00983299139428386     3.41209268110771e-13     0.000162877846931265      3.7607791764599e-17     6.04849569233441e-05     3.97770236979136e-09     2.59050443887247e-21     1.56972011173673e-20     7.71772340398709e-24     2.39152847998768e-24     2.13713813735711e-28     5.43014578993776e-29     1.00020804864487e-30     1.00001573468311e-30     1.00000006436955e-30     1.00000012230917e-30     1.00000001809412e-30     1.00000000260604e-30
      4.2292428743895e-09               2000000000     3.86380135378863e-06        0.989928422500362     5.10716737655171e-08     1.63211241941317e-13      0.00980375479938206      6.2247536107242e-13     0.000182761593512611      7.8698524617657e-17     8.11398286932102e-05     6.40423733819138e-09     6.16761214722001e-21     3.75483891774049e-20     2.10985089585802e-23     6.54006125685528e-24     6.67139744507659e-28     1.67971209705383e-28      1.0007170584078e-30     1.00001859742149e-30     1.00000007607662e-30      1.0000001445531e-30     1.00000002138485e-30     1.00000000307999e-30
     4.97702356433211e-09               2000000000     5.15757158958372e-06        0.989913439244684     6.01001666437638e-08     2.63771436743249e-13      0.00976946058834758     1.14461436586277e-12     0.000203562688039449     1.67332675354127e-16     0.000108309003807351     1.08019565929938e-08     1.50380220332303e-20     9.18722758848214e-20      5.9278143699936e-23     1.83797566630382e-23      2.1506276421403e-27     5.39954113940469e-28     1.00262245735067e-30     1.00002196997695e-30     1.00000008985363e-30     1.00000017072969e-30     1.00000002525736e-30     1.00000000363774e-30
     5.85702081805667e-09               2000000000     6.84604558464272e-06         0.98989518648737     7.07241803651555e-08     4.22194615419759e-13       0.0097292570041781     2.11201093226362e-12     0.000224853738207346     3.59452742812449e-16     0.000143766957959504     1.90399852996895e-08     3.73094727206322e-20     2.28538819959972e-19     1.70197737834209e-22     5.27829968902533e-23     7.11488429872505e-27     1.78499388269676e-27     1.00995358932748e-30     1.00002595528515e-30     1.00000010606657e-30     1.00000020153412e-30     1.00000002981452e-30     1.00000000429409e-30
     6.89261210434968e-09               2000000000     9.03015143570522e-06        0.989872977748898     8.32253558580347e-08     6.69166607143044e-13      0.00968215770533658     3.89770689298362e-12     0.000246083162171631      7.7684157571684e-16     0.000189633181230771     3.48210036675602e-08       9.374801874218e-20     5.75486446743843e-19     4.97607618133966e-22     1.54352651866833e-22     2.41003131124574e-26     6.04584934526878e-27     1.03897271007964e-30     1.00003072154201e-30      1.0000001251461e-30     1.00000023778446e-30     1.00000003517735e-30     1.00000000506649e-30
     8.11130830789686e-09               2000000000     1.18279608805195e-05        0.989846013738015     9.79348525820305e-08     1.04994662498601e-12      0.00962702393501039     7.17316760999448e-12     0.000266583874523947     1.68142819813935e-15     0.000248387180186977      6.5368306133594e-08     2.37025623329855e-19     1.45792226407577e-18     1.47019424140787e-21     4.56134477947782e-22     8.28320498325824e-26     2.07824783904052e-26      1.1555020583094e-30     1.00003668804107e-30     1.00000014759907e-30     1.00000028044331e-30     1.00000004148826e-30     1.00000000597543e-30
     9.54548456661833e-09               2000000000     1.53734257187032e-05        0.989813381422167     1.15241928113336e-07     1.63036183630293e-12      0.00956254565685201     1.31394163292473e-11     0.000285617651012531     3.63570474774714e-15     0.000322841942726428      1.2464482127427e-07     6.01048304027965e-19     3.70518606913232e-18     4.37715428310518e-21     1.35838176645515e-21     2.88225714074334e-25     7.23350378580735e-26     1.63128452758502e-30      1.0000454227543e-30     1.00000017402197e-30     1.00000033064333e-30     1.00000004891482e-30     1.00000000704505e-30
     1.12332403297803e-08               2000000000     1.98147698355149e-05        0.989774053923117     1.35603936021832e-07     2.50460459732979e-12      0.00948722233652599     2.39122597759656e-11     0.000302424124430639     7.83087988823869e-15     0.000416110170591711     2.39045138311319e-07     1.52159257429837e-18     9.40643932933783e-18     1.30565346086325e-20     4.05330284497888e-21     1.00787517106694e-24     2.53042681471313e-25     3.58355078755446e-30      1.0000639363184e-30     1.00000020511709e-30     1.00000038971731e-30     1.00000005765421e-30     1.00000000830376e-30
     1.32194114846603e-08               2000000000     2.53105764094767e-05        0.989726898945283     1.59557918841947e-07      3.8054496262251e-12      0.00939934416735416     4.31798275371235e-11     0.000316307044259313     1.67679812811531e-14     0.000531522110746272     4.57551027227771e-07     3.83289955395982e-18     2.37875679528192e-17     3.88707616891266e-20     1.20731030960793e-20     3.52472078401297e-24     8.85438054668676e-25     1.15970604029857e-29     1.00012531528726e-30     1.00000024171289e-30     1.00000045923342e-30     1.00000006793844e-30     1.00000000978497e-30
     1.55567614393047e-08               2000000000     3.20246692672931e-05        0.989670691203739     1.87733979444685e-07     5.71711271840849e-12       0.0092969751659665     7.73063076171571e-11     0.000326733736178265      3.5664192900865e-14     0.000672518063848482     8.69343961720037e-07     9.59410866218467e-18     5.98782831379212e-17     1.15448465850251e-19     3.58836940732146e-20     1.23299879972598e-23     3.09996159124988e-24     4.46150784756415e-29      1.0003895567694e-30     1.00000028479579e-30     1.00000054103682e-30     1.00000008004052e-30       1.000000011528e-30
     1.83073828029537e-08               2000000000      4.0122163625196e-05        0.989604119241457     2.20870624987794e-07     8.49171039515586e-12      0.00917794020450908     1.37113238740921e-10     0.000333399202541122     7.52519475777278e-14     0.000842565449846472      1.6327217153263e-06     2.38002756822319e-17     1.49756654862793e-16     3.41194337107274e-19     1.06161465706912e-19     4.30000433288397e-23     1.08239852975458e-23     1.80397615387915e-28     1.00162996088088e-30     1.00000033559212e-30     1.00000063729843e-30     1.00000009428162e-30      1.0000000135791e-30
     2.15443469003188e-08               2000000000     4.97647617350422e-05        0.989525793748787     2.59832163809767e-07     1.24699840401872e-11        0.009039818628441     2.40801510766474e-10     0.000336280062975801     1.57400446699328e-13      0.00104506001657965     3.02269588802585e-06     5.83919482897708e-17     3.71769432829523e-16     1.00212542730559e-18     3.12283382280003e-19     1.49301007718116e-22     3.76481131589428e-23     7.37602291416939e-28     1.00759063823447e-30      1.0000003959201e-30     1.00000075057248e-30     1.00000011103967e-30     1.00000001599272e-30
     2.53536449397011e-08               2000000000     6.11080063833759e-05         0.98943424607346     3.05628215244818e-07     1.81075264551259e-11      0.00887994843507577     4.18604935551994e-10     0.000335617213466524     3.26111925866346e-13      0.00128326816330138     5.50604305845413e-06     1.41303833236627e-16     9.14909964085528e-16     2.91912735588322e-18     9.11646672876239e-19     5.14612960204521e-22      1.3009272679659e-22     3.00889837305511e-27     1.03623649680077e-30     1.00000047004064e-30     1.00000088386399e-30     1.00000013075929e-30     1.00000001883288e-30
     2.98364724028333e-08               2000000000      7.4298429487156e-05        0.989327923875446     3.59435137009265e-07     2.60073974759589e-11       0.0086954458883146     7.20217190617611e-10     0.000331845965416348     6.68999198851688e-13      0.00156026706124191     9.85859806074723e-06     3.36426113124783e-16     2.23050951482335e-15     8.42353889479078e-18     2.63879837139222e-18     1.75822576182318e-21     4.46060795403243e-22     1.21973821193841e-26     1.17315954956217e-30     1.00000057489453e-30     1.00000104070833e-30     1.00000015396358e-30     1.00000002217493e-30
     3.51119173421513e-08               2000000000     8.94691398584842e-05        0.989205188278975     4.22618939470451e-07     3.69595388616058e-11      0.00848324757818011     1.22647780516409e-09     0.000325475232681235     1.35868239672448e-12       0.0018788519967313     1.73438898324776e-05     7.85974884898656e-16      5.3853438794093e-15     2.40632057471632e-17      7.5706579749215e-18     5.94970232437287e-21     1.51699757004455e-21     4.90839059795767e-26     1.82333730180291e-30     1.00000079707511e-30     1.00000122526459e-30     1.00000018126795e-30     1.00000002610751e-30
     4.13201240011533e-08               2000000000     0.000106729553864462        0.989064327331601     4.96758834745935e-07     5.19850094752653e-11      0.00824018279645017     2.06752305624937e-09     0.000316962176811642     2.73157499831271e-12       0.0022413207151278     2.99785450555532e-05     1.79622930529647e-15      1.2872780344045e-14      6.7991866701734e-17     2.15183475907769e-17     1.99166296982776e-20     5.11342537465004e-21     1.95840420421424e-25      4.8844754072225e-30     1.00000160727925e-30     1.00000144242555e-30     1.00000021339639e-30     1.00000003073488e-30
     4.86260158006535e-08               2000000000     0.000126144582170512          0.9889036012272      5.8366991214448e-07       7.237898545129e-11      0.00796308510016038     3.45066972624153e-09     0.000306629061306865     5.43676599166465e-12      0.00264903634249684     5.09164882333286e-05     4.00245450633934e-15     3.04617020230514e-14     1.89918460039781e-16     6.05908177872284e-17     6.59013271589796e-20     1.70806008910666e-20      7.7444802067322e-25     1.91690588420344e-29     1.00000558180957e-30     1.00000169794719e-30     1.00000025120057e-30     1.00000003617972e-30
     5.72236765935022e-08               2000000000     0.000147700141742489        0.988721329802323     6.85422812070056e-07     9.97404537994681e-11      0.00764895427217615     5.70233520831393e-09     0.000294640793761363      1.0713935734379e-11      0.00310170313770315     8.49806166115188e-05      8.6669016491575e-15     7.13692911618586e-14     5.24312196617993e-16     1.69080971812042e-16     2.15507573779264e-19     5.65775944248387e-20     3.03851122191628e-24     8.53864716904358e-29     1.00002681710667e-30     1.00000199860286e-30     1.00000029568238e-30     1.00000004258633e-30
     6.73415065775083e-08               2000000000      0.00017125363270784         0.98851602817888     8.04357541228577e-07     1.35967872824464e-10      0.00729517953197705     9.32952410932526e-09     0.000281041688511742     2.09044950667386e-11      0.00359632650648734     0.000139356617312719     1.81833593204274e-14     1.65539250174479e-13     1.42947782195047e-15     4.67515029874282e-16     6.95468819974856e-19     1.85722339923158e-19     1.18108754963169e-23     3.89151538116386e-28     1.00014140122878e-30     1.00000235237628e-30     1.00000034802034e-30     1.00000005012445e-30
     7.92482898353917e-08               2000000000     0.000196472361661065        0.988286586226507     9.43088141114186e-07     1.83190836475682e-10      0.00689983003292262     1.51072845430763e-08     0.000265816472910094     4.03848924105321e-11      0.00412591989076933     0.000224416595806421     3.68991605606047e-14     3.80227611200009e-13     3.84918507987487e-15     1.28193101855128e-15     2.21522333489849e-18     6.04934884831565e-19      4.5560694729967e-23     1.77301754462321e-27     1.00075827043706e-30     1.00000276876287e-30     1.00000040960071e-30     1.00000005899374e-30
      9.3260334688322e-08               2000000000     0.000222766889126844        0.988032492040495     1.10449687261989e-06     2.43598787740729e-10      0.00646202293677035      2.4196213409311e-08     0.000248949970222375     7.72209461072418e-11      0.00467810506509536     0.000354534083433581     7.24274743883244e-14     8.64701004396483e-13     1.02321306394894e-14     3.48684124631598e-15     6.96093715119076e-18     1.95658698528129e-18     1.74648823658358e-22     8.04829857476144e-27     1.00407226543083e-30     1.00000325959814e-30     1.00000048205417e-30     1.00000006942906e-30
     1.09749876549305e-07               2000000000     0.000249231121687587        0.987754097013741     1.29171850596928e-06     3.19128412906583e-10      0.00598237065099362      3.8291875931663e-08     0.000230470498244269     1.46015384215089e-10      0.00523385407080776     0.000548646166881067     1.37840277445259e-13     1.94451517363657e-12      2.6786879578504e-14     9.38927042625676e-15     2.14917346533131e-17     6.26298914336342e-18     6.61788099039398e-22     3.60722502429938e-26     1.02157286840029e-30     1.00000384290538e-30      1.0000005672988e-30     1.00000008170669e-30
     1.29154966501488e-07               2000000000     0.000274617605923672        0.987452881341959     1.50812008096478e-06     4.10989392161375e-10      0.00546343495818021     5.98021936601592e-08     0.000210477609957231     2.72876209044011e-10      0.00576697038801575     0.000830049485149355     2.55728808431532e-13     4.32503250708604e-12     6.91213853154224e-14      2.5068621533238e-14     6.53182607908183e-17     1.99017522642632e-17     2.49132155687421e-21     1.60778667360655e-25     1.11379925763078e-30     1.00000456553882e-30     1.00000066759092e-30     1.00000009615159e-30
     1.51991108295293e-07               2000000000     0.000297363316395915        0.987131769578382     1.75729965813692e-06     5.19059725498072e-10      0.00491027020081004     9.20243814846836e-08     0.000189166154333621     5.03291584891752e-10      0.00624463048223386      0.00122494991124888     4.65410510669206e-13     9.49805632861808e-12     1.75356296845284e-13     6.61829603585665e-14     1.94623413592333e-16     6.25138133274014e-17     9.25816132682457e-21     7.06011808933751e-25     1.58991832366445e-30       1.000005635979e-30      1.0000007855848e-30     1.00000011314607e-30
     1.78864952905744e-07               2000000000     0.000315726961249123        0.986795326672815      2.0431326931889e-06     6.41298184343723e-10      0.00433076138698996     1.39287745952074e-07     0.000166839948827734     9.15150220773802e-10       0.0066302672210701      0.00175889381012109     8.36527839896697e-13     2.05910521915749e-11     4.37819232700523e-13     1.72965267631304e-13     5.70002411042902e-16     1.94677655858062e-16     3.41479107759513e-20     3.08039204410197e-24     4.04190135313155e-30     1.00000823539153e-30     1.00000092440322e-30     1.00000013313988e-30
     2.10490414451202e-07               2000000000     0.000328001186456851        0.986449944149522     2.36991094552752e-06     7.73360678843239e-10      0.00373594552910967     2.07005829208229e-07     0.000143924232750358     1.63789272917018e-09      0.00688802616266885       0.0024515793644479     1.49277810969795e-12     4.39999909208571e-11     1.07470144748466e-12      4.4661338583509e-13     1.63935524460444e-15     5.99724100126153e-16     1.24700991702959e-19     1.33139306194207e-23     1.65437917568327e-29     1.00001934869912e-30     1.00000108772102e-30      1.0000001566622e-30
     2.47707635599171e-07               2000000000       0.0003328155068501        0.986103776950459     2.74262094708226e-06     9.08708018532032e-10      0.00313990312162837      3.0158108254632e-07      0.00012096148644965     2.88080966625228e-09      0.00698912710732113      0.00331036773680905     2.65478420122981e-12     9.25436758808324e-11     2.59310143580479e-12     1.13755953595375e-12     4.63286190191705e-15     1.82509492311988e-15     4.50439728095789e-19     5.69755715674774e-23     7.96995979362008e-29     1.00008044103157e-30     1.00000127986706e-30     1.00000018433574e-30
     2.91505306282518e-07               2000000000     0.000329420392930537        0.985766450597522      3.1673841010168e-06     1.03931317384711e-09      0.00255925362062605     4.30138279722034e-07     9.85919872802613e-05     4.97185162344107e-09       0.0069178299213334      0.00432484974173705     4.71614290399058e-12     1.91288225998643e-10     6.15037101110022e-12     2.85257565989437e-12     1.28772384022679e-14     5.47646910487589e-15     1.60684826047215e-18     2.41099727098587e-22     3.95431151532371e-28     1.00043580517567e-30     1.00000150596783e-30     1.00000021689333e-30
     3.43046928631491e-07               2000000000      0.00031787000116367        0.985448423101218     3.65205488064669e-06     1.15686809455195e-09      0.00201205567828195     6.00099193282515e-07      7.7511432759058e-05     8.40857465176158e-09      0.00667527187439431      0.00546460577488273     8.37826615982366e-12     3.87982146947328e-10     1.43435355968135e-11     7.02804963758464e-12      3.5249173634332e-14     1.61693872975084e-14      5.6497372900212e-18     1.00698554198293e-21     1.95437749170095e-27     1.00250783093919e-30     1.00000177227719e-30     1.00000025519755e-30
     4.03701725859655e-07               2000000000      0.00029903104618257        0.985159995510447     4.20693461591321e-06     1.25413572177519e-09      0.00151610165012498     8.18664109102627e-07      5.8405231423994e-05     1.39213925769636e-08       0.0062796539564945      0.00668177099506888     1.48876954325099e-11     7.71088990296679e-10     3.29058505144504e-11     1.69799926651432e-11     9.51554634701194e-14     4.68813986802221e-14     1.95407972220016e-17     4.14326730443981e-21     9.54284924927087e-27     1.01446524292894e-30     1.00000208765049e-30     1.00000030026379e-30
     4.75081016210279e-07               2000000000       0.0002744220008707        0.984910038690418     4.84554249057207e-06     1.32603550230073e-09      0.00108672296315999     1.09228793957528e-06     4.18639573573754e-05     2.25478243034591e-08      0.00576286407823771      0.00791812496455479     2.64505288193786e-11     1.49981897174375e-09     7.42912102048046e-11     4.01636397992308e-11     2.53630701421892e-13     1.33248056914704e-13     6.63617671886125e-17     1.67623601003218e-20     4.58862439631598e-26     1.08247247215515e-30     1.00000247250475e-30     1.00000035328741e-30
     5.59081018251222e-07               2000000000     0.000245946735566288        0.984704648481022     5.58538377657554e-06     1.37021388860244e-09     0.000734472192408898     1.42624127915378e-06     2.82940648153795e-05     3.57141017653349e-08      0.00516488348858145      0.00911470317006914       4.694807012012e-11     2.85218798475423e-09     1.65104837028806e-10     9.28851282082692e-11     6.68028952662988e-13     3.70725170044409e-13     2.20946879086064e-16     6.65768073930194e-20      2.1689863842713e-25     1.46302106950621e-30     1.00000301667569e-30     1.00000041567571e-30
