                   # Time              Temperature                       h1                      he4                      c12                      n13                      n14                      o16                      f18                     ne20                     ne21                     na22                     na23                     mg24                     al27                     si28                      p31                      s32                     ar36                     ca40                     ti44                     cr48                     fe52                     ni56
                        0               2000000000                        0                     0.99                        0                        0                     0.01                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
                    1e-10               2000000000     2.70892827751203e-09        0.989998649277787     1.20771639000748e-09     3.32841575467012e-19      0.00999531462583821     5.81911354917019e-17     5.97528975411096e-06     2.94815284564924e-22     5.68874938282902e-08     2.48188096427637e-12     1.81412301217529e-27     5.80330181842911e-27                    1e-30                    1e-30                    1e-30                    1e-30                    1e-30                    1e-30                    1e-30                    1e-30                    1e-30                    1e-30
       1.176811952435e-10               2000000000     3.75150777890525e-09        0.989998408265963     1.42125456278864e-09     5.76614405590469e-19      0.00999448642855663      8.0671582327483e-17     7.02134761785059e-06     4.67333034352618e-22     7.87816633579417e-08      3.4370994764349e-12     3.02962479011873e-27     1.01085431524154e-26     1.12562330251526e-30     1.03742161974102e-30     1.00000161912001e-30     1.00000064647372e-30     1.00000006624632e-30     1.00000007962836e-30     1.00000000032576e-30     1.00000000061899e-30     1.00000000009157e-30     1.00000000001319e-30
     1.38488637139387e-10               2000000000     5.18847903453314e-09        0.989998123825124     1.67254863979978e-09     1.03406535970626e-18      0.00999351188358502     1.11723006975727e-16     8.24846745011527e-06     7.46748399152022e-22     1.08958059726866e-07     4.75369732004871e-12     5.16229722305872e-27     1.80919078065783e-26     1.38371999548698e-30      1.1146023078949e-30     1.00000373393565e-30     1.00000145856734e-30     1.00000014420588e-30     1.00000017333596e-30     1.00000000070911e-30     1.00000000134742e-30     1.00000000019933e-30     1.00000000002871e-30
     1.62975083462065e-10               2000000000     7.16938006927842e-09        0.989997787966881     1.96827423947673e-09     1.88856879528852e-18      0.00999236514854433     1.54646599651454e-16     9.68718337018806e-06     1.19933139692839e-21     1.50556981457897e-07     6.56873782511907e-12     8.93831760675783e-27     3.29981228996614e-26     1.92556219571242e-30     1.27728484446572e-30     1.00000673037188e-30      1.0000025388585e-30     1.00000023594977e-30     1.00000028361215e-30     1.00000000116024e-30     1.00000000220465e-30     1.00000000032615e-30     1.00000000004698e-30
     1.91791026167248e-10               2000000000     9.90137793654279e-09        0.989997391169472     2.31628727818222e-09     3.48276754748651e-18      0.00999101582522238     2.14060700514605e-16     1.13728496314057e-05     1.93368362656547e-21     2.07928936673024e-07      9.0721592666622e-12     1.56940282654795e-26     6.10428672141153e-26     3.08609244218928e-30     1.62710014445778e-30     1.00001152566859e-30     1.00000412226208e-30     1.00000034391533e-30     1.00000041338646e-30     1.00000000169114e-30     1.00000000321344e-30     1.00000000047539e-30     1.00000000006847e-30
     2.25701971963392e-10               2000000000     1.36692369862747e-08        0.989996922068777     2.72583265037293e-09     6.44505924366993e-18       0.0099894281584245      2.9639884262845e-16     1.33463112263092e-05     3.12611140577259e-21     2.87053976722181e-07     1.25251607043644e-11      2.7872819845011e-26     1.14005521140762e-25     5.60076430967498e-30     2.38788112855317e-30     1.00002036796338e-30     1.00000677406737e-30     1.00000047097098e-30     1.00000056610638e-30     1.00000000231591e-30      1.0000000044006e-30     1.00000000065101e-30     1.00000000009376e-30
     2.65608778294668e-10               2000000000     1.88653366032982e-08        0.989996367069473     3.20778979858988e-09     1.19318281484317e-17      0.00998756009613642     4.10696122125193e-16     1.56545719067822e-05     5.06505658829803e-21     3.96172068688537e-07     1.72879155515291e-11     5.00002037340559e-26     2.14417207514551e-25     1.11050513009346e-29     4.05871153118522e-30     1.00003896040747e-30     1.00001191660261e-30     1.00000062049269e-30     1.00000074582894e-30     1.00000000305114e-30     1.00000000579767e-30     1.00000000085769e-30     1.00000000012353e-30
     3.12571584968824e-10               2000000000     2.60293275081915e-08        0.989995709870722     3.77496169739579e-09     2.20523823942151e-17      0.00998536218565998     5.69717275698578e-16     1.83514995945683e-05      8.2225963039353e-21     5.46615877707645e-07     2.38563703582105e-11     9.04844043461756e-26     4.05353098666198e-25     2.32401145595384e-29     7.75333050761509e-30     1.00008195900883e-30     1.00002319431301e-30     1.00000079645442e-30     1.00000095732852e-30     1.00000000391638e-30     1.00000000744175e-30     1.00000000110091e-30     1.00000000015856e-30
     3.67837977182863e-10               2000000000     3.59026850032163e-08        0.989994930877579     4.44241492244026e-09     4.06470833410272e-17      0.00998277627851433     7.91697503772054e-16     2.14985095081153e-05     1.33765597937655e-20     7.53956385133203e-07       3.291329745767e-11     1.65120233808071e-25     7.69836482790051e-25     5.02095584295226e-29     1.59861973096562e-29     1.00018783187164e-30     1.00005016816305e-30     1.00000100353612e-30     1.00000120622364e-30     1.00000000493459e-30     1.00000000937652e-30     1.00000000138714e-30     1.00000000019979e-30
